timestamp,temperature_c,humidity_pct,co2_ppm,yield_kg
2024-01-01,22.46,91.4,936.0,18.05
2024-01-02,20.44,84.8,905.0,17.35
2024-01-03,23.13,84.5,944.0,17.52
2024-01-04,23.41,87.6,885.0,18.12
2024-01-05,19.07,89.5,922.0,16.98
2024-01-06,20.05,87.0,913.0,17.11
2024-01-07,22.19,91.0,962.0,17.59
2024-01-08,21.53,89.6,965.0,17.31
2024-01-09,21.97,89.5,770.0,17.79
2024-01-10,20.72,88.7,720.0,16.66
2024-01-11,23.32,94.0,980.0,18.08
2024-01-12,23.17,86.4,995.0,16.6
2024-01-13,22.1,81.0,818.0,16.65
2024-01-14,23.69,91.8,751.0,18.85
2024-01-15,22.7,85.6,908.0,17.7
2024-01-16,20.71,87.3,974.0,17.37
2024-01-17,22.55,90.9,1044.0,17.09
2024-01-18,20.56,82.2,941.0,15.82
2024-01-19,23.32,83.2,870.0,17.3
2024-01-20,21.93,82.2,829.0,17.08
2024-01-21,21.72,84.6,901.0,16.99
2024-01-22,20.98,88.3,876.0,17.52
2024-01-23,23.83,88.6,819.0,17.76
2024-01-24,21.77,87.8,1064.0,16.97
2024-01-25,21.36,82.8,1043.0,15.97
2024-01-26,21.47,80.1,991.0,16.69
2024-01-27,22.8,87.2,826.0,17.55
2024-01-28,22.55,85.6,968.0,16.73
2024-01-29,22.62,88.4,951.0,17.18
2024-01-30,22.65,89.1,935.0,17.29
2024-01-31,25.21,87.4,1000.0,17.8
2024-02-01,21.39,89.3,951.0,17.87
2024-02-02,21.23,87.7,959.0,16.79
2024-02-03,20.78,88.6,951.0,16.64
2024-02-04,22.92,84.9,927.0,16.22
2024-02-05,23.69,86.5,757.0,17.47
2024-02-06,21.83,87.6,907.0,16.98
2024-02-07,20.74,89.5,856.0,16.64
2024-02-08,20.76,85.8,798.0,17.62
2024-02-09,22.98,88.6,1035.0,17.17
2024-02-10,23.11,86.2,1038.0,17.81
2024-02-11,22.81,86.6,1009.0,17.19
2024-02-12,21.0,89.5,920.0,16.95
2024-02-13,22.35,81.0,1008.0,16.7
2024-02-14,22.18,83.1,901.0,17.01
2024-02-15,22.33,82.6,916.0,17.85
2024-02-16,23.31,80.0,813.0,16.21
2024-02-17,22.34,85.0,932.0,16.08
2024-02-18,23.02,89.2,905.0,17.29
2024-02-19,22.1,86.1,796.0,17.35
2024-02-20,22.43,87.6,896.0,17.66
2024-02-21,22.95,90.3,894.0,17.85
2024-02-22,19.81,91.0,1044.0,16.21
2024-02-23,21.52,86.8,972.0,17.36
2024-02-24,21.29,91.1,901.0,17.65
2024-02-25,21.04,87.3,920.0,16.93
2024-02-26,21.59,84.5,904.0,17.37
2024-02-27,24.24,85.2,884.0,17.9
2024-02-28,20.7,82.6,813.0,16.43
2024-02-29,23.45,84.3,888.0,17.83
2024-03-01,19.48,85.9,840.0,16.51
2024-03-02,21.5,89.4,800.0,17.32
2024-03-03,22.24,92.2,941.0,18.14
2024-03-04,22.88,82.9,931.0,15.92
2024-03-05,23.07,88.2,757.0,17.11
2024-03-06,23.19,83.9,890.0,16.78
2024-03-07,21.48,88.4,980.0,16.72
2024-03-08,21.31,86.6,985.0,16.63
2024-03-09,23.29,81.5,982.0,16.34
2024-03-10,21.71,89.8,903.0,16.7
2024-03-11,20.09,85.2,832.0,16.19
2024-03-12,20.3,85.4,813.0,17.96
2024-03-13,20.62,83.8,928.0,17.42
2024-03-14,22.75,85.0,930.0,17.01
2024-03-15,22.21,88.3,1003.0,16.89
2024-03-16,23.04,86.4,988.0,16.68
2024-03-17,21.36,88.0,889.0,16.07
2024-03-18,22.24,88.1,800.0,17.42
2024-03-19,22.94,91.0,874.0,17.18
2024-03-20,21.54,86.0,917.0,16.88
2024-03-21,22.69,82.6,884.0,16.37
2024-03-22,21.01,90.2,854.0,16.72
2024-03-23,21.46,86.0,920.0,16.97
2024-03-24,21.43,90.3,860.0,17.41
2024-03-25,20.21,88.2,850.0,16.98
2024-03-26,22.73,86.6,925.0,16.64
2024-03-27,21.3,88.0,868.0,17.48
2024-03-28,22.02,92.9,920.0,17.01
2024-03-29,22.72,93.2,922.0,17.95
2024-03-30,22.67,87.2,809.0,17.54
2024-03-31,23.0,87.5,862.0,16.86
2024-04-01,21.85,90.2,1015.0,16.88
2024-04-02,21.37,84.5,807.0,17.2
2024-04-03,21.88,88.0,731.0,17.81
2024-04-04,19.47,86.9,751.0,16.61
2024-04-05,19.83,87.9,902.0,17.31
2024-04-06,20.02,84.5,902.0,16.93
2024-04-07,20.5,82.2,891.0,16.35
2024-04-08,22.6,80.8,997.0,17.2
2024-04-09,20.64,83.6,686.0,17.97
2024-04-10,21.43,85.6,932.0,17.83
2024-04-11,23.95,86.1,1025.0,16.83
2024-04-12,21.47,92.8,810.0,17.0
2024-04-13,23.11,90.3,870.0,18.45
2024-04-14,20.6,84.1,840.0,16.18
2024-04-15,21.69,88.0,828.0,16.59
2024-04-16,20.57,85.8,874.0,16.47
2024-04-17,21.49,86.1,1014.0,16.94
2024-04-18,23.26,87.6,1047.0,17.21
2024-04-19,19.41,88.9,873.0,16.19
2024-04-20,22.65,86.0,1052.0,16.65
2024-04-21,22.36,90.2,903.0,17.05
2024-04-22,21.11,83.6,1040.0,15.99
2024-04-23,19.83,87.0,893.0,17.66
2024-04-24,22.11,94.8,910.0,17.7
2024-04-25,21.21,87.7,929.0,17.33
2024-04-26,22.35,91.3,1154.0,16.72
2024-04-27,22.03,87.3,968.0,16.94
2024-04-28,24.4,88.7,843.0,17.71
2024-04-29,21.64,86.8,978.0,15.55
2024-04-30,20.46,86.5,871.0,16.03
2024-05-01,22.27,84.7,861.0,16.29
2024-05-02,22.33,88.3,973.0,16.04
2024-05-03,24.04,84.4,902.0,17.03
2024-05-04,23.25,89.0,922.0,18.24
2024-05-05,22.54,90.3,901.0,17.45
2024-05-06,24.19,88.1,927.0,18.45
2024-05-07,20.22,86.1,934.0,16.71
2024-05-08,21.04,88.4,745.0,17.63
2024-05-09,20.61,86.1,953.0,16.13
2024-05-10,21.42,89.8,821.0,17.53
2024-05-11,19.93,81.5,785.0,16.85
2024-05-12,22.95,86.0,895.0,17.11
2024-05-13,21.67,81.0,907.0,17.02
2024-05-14,19.79,82.5,845.0,16.66
2024-05-15,20.48,91.1,966.0,16.49
2024-05-16,22.47,89.7,793.0,17.08
2024-05-17,23.26,84.8,867.0,16.89
2024-05-18,25.0,82.5,853.0,17.96
2024-05-19,26.37,78.1,896.0,18.19
2024-05-20,22.62,85.4,922.0,16.81
2024-05-21,20.52,94.3,819.0,17.24
2024-05-22,18.8,88.3,958.0,16.43
2024-05-23,22.4,85.3,905.0,17.49
2024-05-24,20.78,88.4,749.0,17.93
2024-05-25,21.38,82.3,743.0,17.68
2024-05-26,21.08,86.1,899.0,16.33
2024-05-27,21.79,87.3,882.0,17.98
2024-05-28,23.6,86.7,892.0,17.37
2024-05-29,22.24,89.4,898.0,17.87
2024-05-30,21.76,88.0,918.0,17.13
2024-05-31,20.45,89.0,976.0,16.43
2024-06-01,19.49,84.9,811.0,15.57
2024-06-02,21.27,89.7,806.0,17.17
2024-06-03,21.92,91.9,813.0,16.77
2024-06-04,24.65,84.1,923.0,18.24
2024-06-05,22.2,84.3,1000.0,17.63
2024-06-06,23.47,91.0,865.0,17.46
2024-06-07,21.25,86.4,700.0,17.45
2024-06-08,20.22,91.2,764.0,16.74
2024-06-09,20.55,85.7,833.0,16.47
2024-06-10,20.91,91.4,855.0,17.52
2024-06-11,25.19,87.4,867.0,18.17
2024-06-12,20.77,87.8,903.0,17.68
2024-06-13,23.26,91.7,875.0,17.57
2024-06-14,20.65,85.9,984.0,17.02
2024-06-15,23.4,84.2,846.0,17.58
2024-06-16,22.58,85.7,831.0,17.79
2024-06-17,21.77,88.4,938.0,16.85
2024-06-18,21.94,82.3,777.0,17.12
2024-06-19,21.02,88.9,931.0,16.83
2024-06-20,22.67,85.4,908.0,16.84
2024-06-21,21.32,90.4,888.0,17.47
2024-06-22,20.16,79.8,1027.0,16.31
2024-06-23,20.08,84.6,850.0,16.85
2024-06-24,22.26,81.9,1065.0,17.41
2024-06-25,24.37,84.5,882.0,18.5
2024-06-26,22.24,87.7,798.0,17.28
2024-06-27,21.82,86.5,906.0,17.25
2024-06-28,22.43,86.2,814.0,17.1
2024-06-29,23.96,86.5,840.0,17.85
2024-06-30,22.33,87.6,932.0,16.92
2024-07-01,21.38,84.0,944.0,17.53
2024-07-02,23.66,89.1,850.0,18.04
2024-07-03,22.64,89.0,979.0,17.18
2024-07-04,24.3,88.2,993.0,18.31
2024-07-05,22.27,88.7,1015.0,16.0
